Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2013,S08000032,,45-64 years,,Females,,Coronary Heart Disease,34,,35.744322960471,,36.631382834948646
2013,S08000032,,65-74 years,,Males,,Coronary Heart Disease,143,,494.108703914861,,502.3712141533343
2013,S08000032,,65-74 years,,Females,,Coronary Heart Disease,72,,216.164284856491,,219.46443497094825
2013,S08000032,,75plus years,,Males,,Coronary Heart Disease,258,,1400.65146579805,,1630.820622094432
2013,S08000032,,75plus years,,Females,,Coronary Heart Disease,278,,951.728859979459,,969.8012030363438
2013,S92000003,d,0-44 years,,Males,,Coronary Heart Disease,86,,5.90200070961264,,6.248690163119208
2013,S92000003,d,0-44 years,,Females,,Coronary Heart Disease,22,,1.50717449312694,,1.597832826486631
2013,S92000003,d,45-64 years,,Males,,Coronary Heart Disease,868,,121.520972167777,,123.6376289938312
2013,S92000003,d,45-64 years,,Females,,Coronary Heart Disease,236,,31.4790904143502,,32.09544451972418
2013,S92000003,d,65-74 years,,Males,,Coronary Heart Disease,989,,400.41782729805,,413.5421732914769
2013,S92000003,d,65-74 years,,Females,,Coronary Heart Disease,429,,155.824343467364,,159.39062751933105
2013,S92000003,d,75plus years,,Males,,Coronary Heart Disease,2212,,1314.51493091665,,1448.0096858493453
2013,S92000003,d,75plus years,,Females,,Coronary Heart Disease,2397,,935.155527639171,,917.4438329132744
2014,S08000015,,0-44 years,,Males,,Coronary Heart Disease,3,,3.28601472134595,,3.3401089829845305
2014,S08000015,,0-44 years,,Females,,Coronary Heart Disease,4,,4.27044743613012,,4.0018408467895235
2014,S08000015,,45-64 years,,Males,,Coronary Heart Disease,65,,125.647568236295,,125.43009355184108
2014,S08000015,,45-64 years,,Females,,Coronary Heart Disease,22,,39.0326987562763,,39.13299150124451
2014,S08000015,,65-74 years,,Males,,Coronary Heart Disease,79,,380.063504281728,,393.768546203223
2014,S08000015,,65-74 years,,Females,,Coronary Heart Disease,43,,184.795221109631,,191.15218064025373
2014,S08000015,,75plus years,,Males,,Coronary Heart Disease,164,,1177.90706026,,1300.987704184874
2014,S08000015,,75plus years,,Females,,Coronary Heart Disease,229,,1139.07680063669,,1111.105493891975
2014,S08000016,,0-44 years,,Males,,Coronary Heart Disease,1,,3.83567949062176,,3.6310820624546114
2014,S08000016,,0-44 years,,Females,,Coronary Heart Disease,1,,3.74658124461429,,3.221412267137913
2014,S08000016,,45-64 years,,Males,,Coronary Heart Disease,20,,116.252034410602,,115.40462157973803
2014,S08000016,,45-64 years,,Females,,Coronary Heart Disease,2,,11.2714156898106,,11.13119721754074
2014,S08000016,,65-74 years,,Males,,Coronary Heart Disease,27,,377.305757406372,,379.82787623569135
2014,S08000016,,65-74 years,,Females,,Coronary Heart Disease,8,,105.180120957139,,104.11325785222677
2014,S08000016,,75plus years,,Males,,Coronary Heart Disease,66,,1350.24549918167,,1466.396240542371
2014,S08000016,,75plus years,,Females,,Coronary Heart Disease,52,,778.443113772455,,748.3477013509953
2014,S08000017,,0-44 years,,Males,,Coronary Heart Disease,4,,11.6201376986317,,11.723231257484027
2014,S08000017,,0-44 years,,Females,,Coronary Heart Disease,1,,2.89100896212778,,2.7458087191194585
2014,S08000017,,45-64 years,,Males,,Coronary Heart Disease,21,,95.9342165372316,,94.9530244436676
2014,S08000017,,45-64 years,,Females,,Coronary Heart Disease,6,,25.7820556892403,,25.756684221851557
2014,S08000017,,65-74 years,,Males,,Coronary Heart Disease,35,,362.919950228121,,366.729220712271
2014,S08000017,,65-74 years,,Females,,Coronary Heart Disease,17,,165.983206404999,,170.21613910772427
2014,S08000017,,75plus years,,Males,,Coronary Heart Disease,94,,1368.66627839255,,1589.4984346272108
2014,S08000017,,75plus years,,Females,,Coronary Heart Disease,85,,941.20252463736,,917.03470121354
2014,S08000019,,0-44 years,,Males,,Coronary Heart Disease,5,,6.21156593577241,,6.68123110344821
2014,S08000019,,0-44 years,,Females,,Coronary Heart Disease,1,,1.23217960249886,,1.1516491615994102
2014,S08000019,,45-64 years,,Males,,Coronary Heart Disease,44,,106.167358363092,,109.68189843642308
2014,S08000019,,45-64 years,,Females,,Coronary Heart Disease,12,,27.8177013306134,,28.483567469576887
