Year,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2013,S12000028,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000028,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,110.81595459946509
2013,S12000028,,45-64 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S12000028,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,471.6346672965283
2013,S12000028,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,172.90693398870707
2013,S12000028,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1531.2778487396154
2013,S12000028,,75plus years,,Females,,Coronary Heart Disease,,c,,c,907.2010341250136
2013,S12000029,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,7.135800888130264
2013,S12000029,,0-44 years,,Females,,Coronary Heart Disease,,c,,c,1.339287422560488
2013,S12000029,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,120.23618175990656
2013,S12000029,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,29.623645327653133
2013,S12000029,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,471.5262309566041
2013,S12000029,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,192.4562433974029
2013,S12000029,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1430.9523760144666
2013,S12000029,,75plus years,,Females,,Coronary Heart Disease,,c,,c,971.7447117278282
2013,S12000030,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,4.388274530454625
2013,S12000030,,0-44 years,,Females,,Coronary Heart Disease,,c,,c,9.190669824819755
2013,S12000030,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,85.64923238161337
2013,S12000030,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,33.03279620829675
2013,S12000030,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,371.4408061462846
2013,S12000030,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,128.92397896987245
2013,S12000030,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1292.2683010605522
2013,S12000030,,75plus years,,Females,,Coronary Heart Disease,,c,,c,849.3225513426801
2013,S12000033,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,4.666477280610896
2013,S12000033,,0-44 years,,Females,,Coronary Heart Disease,,c,,c,3.5928389586926173
2013,S12000033,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,102.36338177968048
2013,S12000033,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,26.130646110020244
2013,S12000033,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,366.2390051675504
2013,S12000033,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,150.0756885237198
2013,S12000033,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1204.0794113714358
2013,S12000033,,75plus years,,Females,,Coronary Heart Disease,,c,,c,870.976979642921
2013,S12000034,,0-44 years,,Males,,Coronary Heart Disease,,c,,c,4.290666965015593
2013,S12000034,,0-44 years,,Females,,Coronary Heart Disease,,c,,c,1.2805455855934964
2013,S12000034,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,78.6186037774556
2013,S12000034,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,37.842030798403414
